url|title|date|author|tags|text|transport|transport_processing
https://www.startupdaily.net/startup-daily-tv/startup-daily-tv-crypto-report-author-senator-andrew-bragg-says-the-government-needs-to-act-now-on-consumer-protection/|Startup Daily TV: Crypto report author Senator Andrew Bragg says the government needs to act now on consumer protection|23/8/2022|Simon Thomsen|Startup Daily TV, auspol, cryptocurrency, fintech, regulation|The architect of the Senate report into regulating Australia’s cryptocurrency sector, released nearly a year ago, says the new Labor government needs to get on with introducing legislation rather than once again reviewing existing reviews into the issue. Liberal senator Andrew Bragg coauthored a landmark Senate Select Committee report into digital asset regulation last year, investigating issues such as regulation and consumer protection, the fintech terror of “debanking”, and the taxation of digital assets, setting our a legislative roadmap with 12 recommendations that were embraced by the former Coalition government. Speaking to Startup Daily on ausbiz today, Senator Bragg said assistant treasurer Stephen Jones and his boss, Jim Chalmers, need to act before Australia misses out on the opportunity digital assets offer. Treasurer Jim Chalmers said “the first step in a reform agenda” for crypto will see Treasury prioritise ‘token mapping’ work for the remainder of this year to help identify how crypto assets and related services should be regulated. Chalmers said the Treasury work would identify notable gaps in the regulatory framework, progress work on a licensing framework, review innovative organisational structures, look at custody obligations for third party custodians of crypto assets and provide additional consumer safeguards. A public consultation paper on token mapping will be released soon. But much of that groundwork was already laid out in the Bragg report and subsequent Treasury consultation, although Chalmers accused the former government of prematurely jumping “straight to options without first understanding what was being regulated”. Senator Bragg, now in opposition, said the government is trying to create the impression that it is doing something when it’s not. “Australia is in the midst of a race for consumer protection, capital attraction and innovation. The Albanese government is commissioning another review rather than responding to the Treasury consultation on crypto markets and custody,” he said. “The Government should get on with the job of producing a draft bill rather than further reviewing. Our competitors are enhancing their regulatory systems while we establish endless reviews.” Here’s the interview:  https://assets.ausbiz.live/assets/5094a091-6d0d-4501-b905-78f07013a454/MP4/vimondio_video_1920x1080_10000.mp4   You can turn into the Startup Daily show Monday to Thursday from 2-2.40pm on ausbiz.com.au, for the latest news in tech and startups. If you can’t make it, then you can always catch up on what our guests had to say on demand via the ausbiz site. It’s free once you sign up.  Startup Daily on ausbiz.com.au streams live every weekday from 2pm. Watch online, download the ausbiz app or via 7Plus|no|
https://www.startupdaily.net/startup-daily-tv/startup-daily-tv-nsw-tech-innovation-science-minister-alister-henskens-on-the-states-800-million-plan-for-startups/|Startup Daily TV: NSW tech, innovation & science minister Alister Henskens on the state’s $800 million plan for startups|29/6/2022|Startup Daily|Startup Daily TV, commercialisation, NSW politics, R&D, startup daily TV|The NSW budget, announced last week, delivered the single-largest investment in scientific research, innovation and technological development in the state’s history – $832.7 million boost over four years.  Total investment topped $1.1 billion with $270 million also announced to boost to biomedical research, on top of $119.1 million over 10 years for RNA research and development initiatives, as well as the $95.8 million RNA Pilot Manufacturing Facility announced last year. NSW Minister for Science, Innovation and Technology Alister Henskens said government investment is designed to turbocharge the innovation ecosystem in NSW, creating jobs and new industries in line with the recently released NSW 20-Year R&D Roadmap. The Budget included $703.4 million to establish the Future Economy Fund, which will expand and accelerate R&D and commercialisation opportunities across the State, building on the work of the NSW Government’s R&D Action Plan. The $270m is for two new facilities – the Sydney Biomedical Accelerator Complex in Camperdown and the Viral Vector manufacturing facility at Westmead – to help develop treatments for rare, life-limiting diseases as part of the NSW Government’s commitment to driving world-leading health and research precincts. Startup Daily TV caught up with Minister Henskens to talk about the government’s plans, including addressing the “valley of death” for capital for early-stage startups, looking two decades ahead in deep tech, the potential for quantum computing and the new announcement this week, plans for the Semiconductor Sector Service Bureau (S3B) to ramp the state’s semiconductor capability in partnership with the CSIRO. You can watch our extended interview with the tech minister by clicking on the link below.  https://assets.ausbiz.live/assets/5094a091-6d0d-4501-b905-78f07013a454/MP4/vimondio_video_1920x1080_10000.mp4 You can turn into the Startup Daily show Monday to Thursday from 2-2.40pm on ausbiz.com.au, for the latest news in tech and startups. If you can’t make it, then you can always catch up on what our guests had to say on demand via the ausbiz site. It’s free once you sign up.  Startup Daily on ausbiz.com.au streams live every weekday from 2pm. Watch online, download the ausbiz app or via 7Plus|no|
https://www.startupdaily.net/startup-daily-tv/startup-daily-tv-melbourne-biotech-tessara-therapeutics-has-developed-a-mini-human-brain-to-help-find-better-drugs-to-treat-diseases-such-as-alzheimers/|Startup Daily TV: Melbourne biotech Tessara Therapeutics has developed a ‘mini human brain’ to help find better drugs to treat diseases such as Alzheimers|13/4/2022|Simon Thomsen|Startup Daily TV, biotech, startup daily TV|Melbourne-based biotech company Tessara Therapeutics has developed microscopic 3D models of healthy and diseased brain tissues that can be used by researchers to study and discover better, more effective drugs to treat neurological diseases such as Parkinson’s, Alzheimer’s and epilepsy. The ground-breaking technology has been called RealBrain, developed by a team of neuroscientists and biomaterials experts. Because the highly reproducible neural micro-tissues are designed to mimic the physiology of the human brain it solves one of the pharmaceutical industry’s biggest problems: finding a more physiologically relevant alternative to in vitro and animal models. The company is already producing its minimum viable product (MVP) and has shared the platform for evaluation by leading drug discovery companies and prospective commercial partners around the world, with the goal of a fully commercial product rollout within the next 18 months. Tessara has now launched a capital raise seeking up to $10 million to fund the commercial development of the RealBrain technology, as well as commence preparations for formal preclinical studies of the RealBrain Therapeutics for regenerative medicine. Neurological disorders are now the leading source of disability globally, and the ageing population is increasing the burden of neurodegenerative disorders. RealBrain can be manufactured at industrial scale via a robotic manufacturing process, making it easily adoptable, repeatable, and scalable. This new technology can help reduce costs, shorten research timing and improve outcomes of neuroscientific clinical trials that will have a real impact in patients and their families’ lives. Researchers at The Florey Institute are working to design implantable RealBrain micro-tissues for the treatment of Parkinson’s Disease and other neurological applications where cell or tissue replacement offers the potential of a cure. Further collaborations with aim to achieve fully automated, industrial-scale manufacturing of RealBrain models for use by contract research organisations and pharmaceutical companies worldwide. Tessara Therapeutics is one of the latest Tech23 companies,  and CEO Dr Christos Papadimitriou joined us on the Startup Daily show to discuss the capital raise, the story behind RealBrain and its potential to revolutionise the development of drugs that treat neurological diseases. Click on the link below to watch the interview. https://assets.ausbiz.live/assets/169c9a73-6b5e-4b9d-b573-df5397b18868/MP4/vimondio_video_1920x1080_10000.mp4 You can turn into the Startup Daily show every weekday from 2-2.40pm on ausbiz.com.au, for the latest news in tech and startups. If you can’t make it, then you can always catch up on what our guests had to say on demand via the ausbiz site. It’s free once you sign up.  Startup Daily on ausbiz.com.au streams live every weekday from 2pm. Watch online, download the ausbiz app or via 7Plus|no|
https://www.startupdaily.net/topic/funding/payto-fintech-hello-clever-raises-4-5-million-seed-round/|PayTo fintech Hello Clever raises $4.5 million Seed round|25/8/2022|Simon Thomsen|Funding, Capital Raising, fintech, PayTo, seed capital|A buy-to-earn fintech Hello Clever has raised $4.5 million in a Seed round as it looks to build out its instant rewards ecosystem. The round was led by Vectr Fintech Partners with participation from CrossFund, Yolo Investments, Magnivia Ventures, Son Tech Ventures, Boson Ventures and notable angels such as Ken Cheung, the former APAC head of Facebook and Instagram, Daniel Johnson of Mercurien Insurance and Bosco Tan. The announcement came just days after Hello Clever became the first payment platform in Australia to offer PayTo pre-authorised payments, and on August 17, completed the first PayTo payment in Australia with the RBA. Launched in early 2022 by high school mates turned cofounders Caroline Tran and Gavin Nguyen, the pair are looking to use the capital to build a team of developers and designers as they also start to eye off other markets in the Asia Pacific region. Tran, the fintech’s CEO, said the platform is designed to support Aussie millennials and generation Z to track their income and spending, while using their own money to make payments as an alternative to credit-based buy now pay later services. “Hello Clever is the first Australian buy-to-earn platform designed with the customer in mind,” she said. “Through its real-time payment API, which is an instant payment solution powered by the New Payments Platform (NPP), PayTo and PayID, Hello Clever provides real-time cash back for customers and allows users to be clever with their spending, tracking it across multiple bank accounts in real-time.” The startup is at the forefront of the transformation of the Australian payments landscape with PayTo being introduced in July. It’s part of the NPP system and offers a new way for merchants and businesses to initiate real-time payments from their customers’ bank accounts.  Fast payments and rewards Hello Clever is designed to make fast payments (PayTo, PayID) possible for retailers and uses open banking, fast payments, and AI technologies to put together an end-to-end experience for younger consumers around shopping, payments, earning, and managing spending. “With PayTo, payments are now secured at bank level, meaning our customers can set up automatic payments from and receive rewards right into their own bank accounts. This allows us to focus more on building a comprehensive, friction-free spending and earning journey for our customers, while welcoming bigger merchants and enterprises across all verticals,” Tran said. “Imagine a platform where you can just checkout and earn cashback without even thinking about your cards or bank accounts, and at the same time you’re pretty sure your merchant will get your payment instantly and securely – that’s the kind of experience we’re building. Hello Clever allows merchants to unlock new customers from the fintech’s ecosystem and securely transact with reduced fraud and chargeback. As well as leading the way on that front, Tran and Nguyen are looking to ramp up the incentives for consumers to encourage them to embrace the shift to PayTo. “Achieving more than $4.5 million in seed funding allows us to grow and scale our product offering, ensuring we provide the support to as many users as possible to achieve their financial goals,” Tran said. Hello Clever now has more than 30,000 active users and built partnerships with 70-plus banks and more than 1,010 retailers including brands such  AMH Hair & Beauty, Skeyndor, The North Face, Under Armour, Lee Jeans, Timberland, and T2 Tea. Mark Munoz from Vectr Fintech Partners said they were immediately impressed with Tran’s vision “She was able to spot the open banking trend taking over the fintech space in the US and Europe and think of how to localise it to the Australian market through Hello Clever,” he said. CrossFund CEO Ben Cardarelli said they hadn’t seen another fintech app for millennials in the market with the same kind of traction and positive customer reviews. “We could tell Caroline was a force of nature and knew the industry inside-out,” he said. “We forecast Hello Clever being able to grow into Southeast Asia through Philippines, Indonesia, and Vietnam. These are all large markets with big, young, and tech-savvy populations that can benefit enormously from a payment solution like Hello Clever.”|no|
https://www.startupdaily.net/topic/funding/ex-qantas-execs-ai-based-blockchain-based-provenance-startup-bags-28-million/|Ex Qantas exec’s AI-based blockchain-based provenance startup bags $28 million|25/8/2022|Simon Thomsen|Funding, blockchain, Capital Raising, supply chain|A former child slave who escaped civil war in Somalia for a new life in Australia, where she started out washing dishes for $5 an hour before going to become chief information officer at Qantas, has raised $28.3 million for her blockchain-based food supply chain startup. The round in Jamila Gordon’s Lumachain was led by US VC Bessemer Venture Partners as the business ramps up its US focus. Lumachain previously raised $3.5 million in 2019, in a round led by the CSIRO’s innovation fund, Main Sequence Ventures, having initially bootstrapped for 15 months. The idea began as a started as a dinner table conversation with friends in the meat processing industry and the lack of visibility in global meat supply chains, so there was  no way to connect an individual cut of meat back to the animal it came from. Gordon had built the Qantas spare parts tracking system, and decided she’d tackle this problem too, launching her startup in 2018. She looked at a range of tech as solutions, including DNA, RFID, and Isotope Analysis, but decided Computer Vision-based Artificial Intelligence (AI), combined with blockchain, smart devices and IoT was the best solution The startup offers transparency in global supply chains, tracking and trace the origin, location and condition of individual items in a supply chain, in real time, from farm to fork. Gordon believes that tracking incentivises farmers and manufacturers to create high-quality, ethically-produced products, as well as reducing waste and increasing efficiency to improve revenues and margins.Food waste is estimated to be a $1.5 trillion problem by 2050. Lumachain was part of Microsoft’s first scale-up program cohort and established a research partnership with CSIRO to develop a track and trace solution for abattoirs, co-funded through the CSIRO’s Kick Start grant program.    That focus on meat has seen the business sign up Andrews Meat, Coles and US giant Cargill to use Lumachain’s vision-based AI to manage food safety to traceability. The capital injection will be use to install that monitoring tech in US meat and processing plants.|no|
https://www.startupdaily.net/topic/funding/melbourne-edtech-raises-a3-3-million-to-help-schools-improve-student-performance-and-wellbeing/|Melbourne edtech raises $3.3 million to help schools improve student performance and wellbeing|24/8/2022|Simon Thomsen|Funding, Capital Raising, EdTech, saas|Melbourne data analytics startup Intellischool has raised $3.3 million as it looks to go global with its edutech platform. The round was led by Sydney VC EVP and supported by social impact investor Save the Children Impact Investment Fund, edtech ventures Schoolbox and Curio Ventures, and personal backing from several edtech entrepreneurs. The capital is to bolster customer growth and for product enhancements amid ambitions to tackle primary and secondary schools in international markets. Intellischool’s SaaS platform takes data from multiple software sources to give teachers, school admin, students and parents insights that help student performance and wellbeing. Dave Philp and Josh Turci founded the startup in 2018. Philp said teachers can get frustrated and overwhelmed by having to switch between software systems so Intellischool was designed to surface insights within the existing solutions teachers use daily to offer “in the moment” insights to act on. “In my previous roles working with schools, I saw first-hand the frustration teachers experienced in making the most from their data,” he said. “Initial excitement for all new and exciting software was quickly displaced by confusion as valuable information sat across multiple siloed tools. Teachers and school staff were crying out for a way to make sense of all this unactionable data. Josh and I were very deliberate in building a solution that made simple and actionable insights a part of day-to-day learning and teaching.” A typical school tech stack can span more than a dozen software solutions, ranging from a Student Information System, to a Learning Management System (LMS), several digital curriculum providers, plus multiple learning, assessment and student wellbeing tools. Philp said that makes it difficult for information to synchronise between solutions to draw insights for student benefit. “It’s immensely gratifying to see how Intellischool’s product has become mission critical for teachers, students, and school administrators. For teachers, our software allows them to see student performance and identify at-risk students,” he said. “For the homeroom teacher, year level coordinators, and student mentors, automated and timely notifications have proved critical in facilitating check-ins with students, prompting out-of-cycle interventions and identifying which students may require priority attention. He added that giving principals and school administrators holistic data on student performance enables them to apply for needs-based funding and grants to service underperforming students.” “We’ve seen huge demand for our product since going live only two years ago. Schools need little convincing to come on board, and ultimately understand that our product improves student outcomes, teacher job satisfaction and overall school performance,” Philp said. EVP investment manager, Mark Velik said the edutech startup has strong traction in a notoriously difficult to access market, which demonstrates its inherent value. “Our discussions with Intellischool customers and prospects confirmed the deep emotional relief provided by Intellischool’s product and the seriousness of the problem to be tackled,” he said. “Initial offshore customers proved it was a global opportunity of scale for the business to address. In Dave and Josh we saw the perfect founders to tackle this huge task with their deep relevant experience in data and technology roles in schools.”|no|
https://www.startupdaily.net/topic/business/mr-yum-is-the-latest-startup-to-shed-jobs-cutting-17-of-its-roles-after-admitting-it-grew-too-quickly/|Mr Yum is the latest startup to shed jobs, cutting 17% of its roles after admitting it grew ‘too quickly’|24/8/2022|Simon Thomsen|Business, Mr Yum, redundancies|The meteoric rise of restaurant ordering and payments platform Mr Yum has flamed out with the company announcing it will shed more than 40 jobs globally with CEO and cofounder Kim Teo admitting they “increased our headcount too quickly.” Less than nine months after raising $89 million in Australia’s third-largest Series A, led by US VC giant Tiger global, Teo told the Mr Yum team that they decided to shed around 17% of current staff “to extend our runway while capital markets remain uncertain”. All up, the software startup raised more than $100 million in just six months. In May, Mr Yum acquired fellow Melbourne startup MyGuestlist and its subsidiary CRM platform Sprout for an undisclosed price, taking the global team to 260 people, meaning around 45 jobs will go in the cutbacks. Teo shared “the heartbreaking news” more broadly on LinkedIn, saying the decision was “in line with a more focused strategy and structure to better support our customers, product vision and growth, while capital markets recover”. “Our team are so close, it will feel like a part of us is missing,” she wrote. “I’m so grateful for how our entire team have handled this today – with empathy, strength and camaraderie.” She offered to share an opt-in list of the people made redundant with other startups looking to recruit. In email to staff, Teo said they “completely accept and own” the rapid increase in headcount, and the decision to cut back was made “after deeply exploring every option available”. “We made an assumption that the strong economic environment would continue deeper into 2022; instead, conditions deteriorated rapidly in May, back when we first communicated the situation with you, and capital markets have remained soft since,” she wrote. “Every function will be impacted as we reduce roles that are no longer aligned with a more focused strategy towards our long term vision. We plan not to have to make headcount reductions again and to more forward with a more capital-efficient structure that supports our growth in all markets.” The company is giving redundant staff an additional six weeks of severance pay on top of the standard notice and accelerated stock option vesting to the startup’s next milestone, and 3 months of mental health support. “Please know this is in no way a reflection on your contributions to the company and our culture,” Teo wrote. Earlier this month Mr Yum was among nine tech companies chosen for LaunchVic’s 30×30 program, which is focused on building startups with a “unicorn” – $1 billion – valuation by 2030.|no|
https://www.startupdaily.net/startup-daily-tv/startup-daily-tv-crypto-report-author-senator-andrew-bragg-says-the-government-needs-to-act-now-on-consumer-protection/|Startup Daily TV: Crypto report author Senator Andrew Bragg says the government needs to act now on consumer protection|23/8/2022|Simon Thomsen|Startup Daily TV, auspol, cryptocurrency, fintech, regulation|The architect of the Senate report into regulating Australia’s cryptocurrency sector, released nearly a year ago, says the new Labor government needs to get on with introducing legislation rather than once again reviewing existing reviews into the issue. Liberal senator Andrew Bragg coauthored a landmark Senate Select Committee report into digital asset regulation last year, investigating issues such as regulation and consumer protection, the fintech terror of “debanking”, and the taxation of digital assets, setting our a legislative roadmap with 12 recommendations that were embraced by the former Coalition government. Speaking to Startup Daily on ausbiz today, Senator Bragg said assistant treasurer Stephen Jones and his boss, Jim Chalmers, need to act before Australia misses out on the opportunity digital assets offer. Treasurer Jim Chalmers said “the first step in a reform agenda” for crypto will see Treasury prioritise ‘token mapping’ work for the remainder of this year to help identify how crypto assets and related services should be regulated. Chalmers said the Treasury work would identify notable gaps in the regulatory framework, progress work on a licensing framework, review innovative organisational structures, look at custody obligations for third party custodians of crypto assets and provide additional consumer safeguards. A public consultation paper on token mapping will be released soon. But much of that groundwork was already laid out in the Bragg report and subsequent Treasury consultation, although Chalmers accused the former government of prematurely jumping “straight to options without first understanding what was being regulated”. Senator Bragg, now in opposition, said the government is trying to create the impression that it is doing something when it’s not. “Australia is in the midst of a race for consumer protection, capital attraction and innovation. The Albanese government is commissioning another review rather than responding to the Treasury consultation on crypto markets and custody,” he said. “The Government should get on with the job of producing a draft bill rather than further reviewing. Our competitors are enhancing their regulatory systems while we establish endless reviews.” Here’s the interview:  https://assets.ausbiz.live/assets/5094a091-6d0d-4501-b905-78f07013a454/MP4/vimondio_video_1920x1080_10000.mp4   You can turn into the Startup Daily show Monday to Thursday from 2-2.40pm on ausbiz.com.au, for the latest news in tech and startups. If you can’t make it, then you can always catch up on what our guests had to say on demand via the ausbiz site. It’s free once you sign up.  Startup Daily on ausbiz.com.au streams live every weekday from 2pm. Watch online, download the ausbiz app or via 7Plus|no|
https://www.startupdaily.net/partner-content/talent-retention/|“Don’t be rigid about flexibility”: 3 tech talent experts on how to keep your best people right now|23/8/2022|Mia Erickson|Partner Content, hr tech, human resources, people and culture, talent|Talent retention is becoming increasingly challenging in the current startup landscape. Startup Daily asked an Aussie unicorn, a rising fintech star and a modern HR platform how they’re tackling it head on. One of the hottest topics in the Australian and New Zealand startup ecosystem today is talent. Employee priorities have changed with The Great Resignation (or Reshuffle, as we’ve since come to see it). Teams are more dispersed than ever. Combine that with the pandemic talent shortage and the more recent market downturn, and you have a storm of reasons why great talent is getting harder to keep. But it’s not all doom and gloom. Startup Daily recently hosted a webinar, The Great Retain: How to keep your best talent right now, in partnership with HR platform HiBob, to see how the best of the best are keeping talent at this moment. Our panel included: Damien Andreasen, Country Manager of HiBob for Australia and New Zealand, one of the world’s fastest growing HR tech companies. The platform powers productivity, engagement and retention for modern and mid-sized businesses around the globe, and locally for businesses like Airtasker, Seer, PEXA and Novatti.  Anna Wenngren, Chief People Officer at SafetyCulture, a global technology company valued at $2.2 billion AUD in 2021. Since Anna joined in March 2020, SafetyCulture has grown from 300 to 700 people, and has achieved ‘Best Place to Work’ recognition across four continents. Lucy Chisholm is the HR Lead of Zeller, an Australian financial services and payments technology business. Zeller’s team has grown by more than 100 employees in the last 12 months. They shared valuable insights around employee engagement, company culture and initiatives and incentives that are driving loyalty. Read highlights below, or watch the full webinar here – sign-up is free:  Transparency during uncertain times According to Damien, companies are doubling down and looking at their strategies a little closer. One of the biggest concerns for any business and any employee at the moment is the stability of their role and their company. “No one really knows where the market is right now,” says Damien. “Maybe we’re all waiting for the second shoe to drop, but it feels to be a bit of a pause and a big holding of breath until we understand where it’s all going.” Lucy from Zeller says it’s been even more important now to be transparent during the interview process about where the company is at, because people are asking questions. “We have been really transparent with our existing team and anyone coming in,” she says. “They can see we are full steam ahead, but we’re also really cognisant there are pressures in the market and we’re talking to people about them.” When it comes to holding onto great tech talent, Lucy says one of the most common blindspots for founders and leaders is only hiring for skill set.  “We’ve had great success when we hire for say 80 per cent of the skill set, and then we really dig deep in what their attitude is like,” Lucy explains. “Do they have an awesome attitude and a growth mindset?” Anna from SafetyCulture adds that the companies with retention issues normally stem from a lack of transparency across the team. “The more that you can be transparent with talent about what’s actually going on in the organisation before they’ve joined, it really lets them come in with eyes wide open about problems to solve,” she says. “It’s really important if you’re going to retain great people, then all of the things that you profess to be as a business and the values you put on your wall, you’ve really got to live and breathe all of those things and make sure that there’s a felt experience of it too.” Improving employee engagement With the globalised nature of the tech industry and hybrid working conditions, engagement has become just that bit more challenging with teams here, there and everywhere. According to the experts, the solution lies in a free flow of communication, and semi-regular retrospectives to realign on the vision and strategy. “You might be able to attract people with great big fat salaries, but when times get tough, they’re not the people that are gonna stick behind the business and help you get through those more difficult times,” warns Anna. Taking a leaf out of his own book, Damien attributes the teams’ positive engagement at HiBob to the platform itself. “I was onboarded remotely a year ago – 80 per cent of my team that I built here were onboarded remotely. And we use Bob [the HRIS – or HR tech platform] as a central place to come together,” Damien says. The platform is used by HR professionals and managers working with modern and mid-sized organisations more seamlessly and productively. It has features specifically for milestone recognition, as well as pooling workflow, payroll, timesheets, performance management and real-time analytics into one place. “It puts some of the control back into the hands of the employees who want to feel engaged,” Damien explains. At Zeller, learning and development is a key area for driving employee engagement. In the last 12 months, Zeller has introduced an allowance for each to explore an area of their professional development. “The team member says, ‘This is what I’d like to explore a little more and learn more about’,” says Lucy. “And then the leader and myself will come in and support them where we need to.” Making connections meaningful and value-driven With staff reconsidering why they get up each day to work and how they want to do it, the role of business values can’t be underestimated. These days, it’s not just about the transactional conversation of salary – emerging employees are looking for purpose. “It’s about being connected to the mission of the outcomes and showing that people are still achieving goals they have and feeling supported in the role as well,” Damien says. He adds: “We’re talking more about bringing authentic self to work and if that’s the case… then there is going to be the blend between professional and personal. So supporting those two aspects and making sure that everyone has real connections, I think is a real key.” With more people returning to the office, Lucy encourages companies like her own to still offer flexibility and balance with working from home. “We’re pretty excited to see what we can achieve in person given what we’ve achieved working remotely,” she says. “We’ll just continue to listen to our team. We’ll ask them for feedback.” According to Anna, the focus on “partnership over policing” has been the biggest shift that she’s seen while working in Human Resources over the past 20 years. Like Zeller, SafetyCulture has recently invested in building a workspace that reflect the values and philosophy of the business. “We wanted to create a space that people actually wanted to be in that inspired creativity,” says Anna. “We’ve left it to the teams to work out what hybrid means for them and they know what they need to accomplish.” Something the panel can agree upon is that while hybrid working has introduced a sense of freedom for workers everywhere, it’s important not to get stuck in your comfort zone – as tempting as your Ugg Boots and tracksuit might be. As Anna puts it so eloquently: “Don’t get rigid about flexibility.” Watch the full webinar further up this page or at The Great Retain: How to keep your best talent right now. Find out more about HiBob’s modern HR platform for productivity, retention and engagement and request a demo here.  This article is brought to you by Startup Daily in partnership with HiBob. Feature image: Supplied.|no|
https://www.startupdaily.net/topic/cryptocurrency/the-albanese-government-is-finally-getting-cracking-on-crypto-regulation/|The Albanese government is finally getting cracking on crypto regulation|23/8/2022|Simon Thomsen|Cryptocurrency, auspol, cryptocurrency, digital assets, regulation|The Albanese government is looking to map out Australia’s cryptocurrency landscape, taking a slower approach to digital asset regulation and reform than the former Morrison government. In a joint announcement on Monday by federal treasurer Jim Chalmers, Assistant Treasurer Stephen Jones and competition, charities and treasury assistant minister Dr Andrew Leigh, they said “the first step in a reform agenda” for crypto will see Treasury prioritise ‘token mapping’ work for the remainder of this year to help identify how crypto assets and related services should be regulated. The aim is to identify notable gaps in the regulatory framework, progress work on a licensing framework, review innovative organisational structures, look at custody obligations for third party custodians of crypto assets and provide additional consumer safeguards, the ministers said. “This hasn’t been done anywhere else in the world, so it will make Australia leaders in this work,” they said “With the increasingly widespread proliferation of crypto assets- to the extent that crypto advertisements can be seen plastered all over big sporting events – we need to make sure customers engaging with crypto are adequately informed and protected.” A public consultation paper on token mapping will be released soon. Chalmers accused the former government of “dabbling” in crypto asset regulation and prematurely jumping “straight to options without first understanding what was being regulated”. The Labor announcement comes 10 months after a report into digital asset regulation was handed down by a Senate Select Committee that looked into the space. Chaired by Liberal senator Andrew Bragg, it  investigated issues such as regulation and consumer protection, the fintech terror of “debanking”, and the taxation of digital assets. The report made 12 recommendations that Senator Bragg said will drive opportunities for innovative businesses, protect consumers, and enhance Australia’s competitiveness, while also delivering a clear regulatory framework for the digital assets sector in Australia. Former treasurer Josh Frydenberg embraced the report last December, announcing plans to modernise the rules around digital wallets and BNPLs, as well as improving oversight and licencing around businesses that buy, sell or hold digital assets, in what he called the “most significant reforms to our payments system in 25 years” He outlined a timeline that would have seen consultation on establishing of a licencing framework for Digital Currency Exchanges, and on a custody or depository regime for businesses holding crypto assets, completed by now, but that has been put to one side as the government shifts the focus to token mapping. The new Treasurer and government say they’re now “ready to start consultation” with stakeholders on a framework for industry and regulators, which allows consumers to participate in the market while also better protecting them. “The aim will be to identify notable gaps in the regulatory framework, progress work on a licensing framework, review innovative organisational structures, look at custody obligations for third party custodians of crypto assets and provide additional consumer safeguards,” Chalmers said. Recent analysis by Roy Morgan found that more than 1.07 million Australians – 5% of the adult population – now own at least one cryptocurrency, and under 35s make up the majority of those investors (59%) – more than one-in-ten under 35s. More than two-thirds (69%, 742,000) of crypto investors are men. Get on with it Responses to the government’s announcement were mixed. Senator Bragg said the Labor government “is trying to create the impression that it is doing something when it is not”. “In the Senate report, I recommended regulating crypto through a market licensing system as well as token mapping. No choice is required. Both can be done,” he said. “Australia is in the midst of a race for consumer protection, capital attraction and innovation. The Albanese government is commissioning another review rather than responding to the Treasury consultation on crypto markets and custody. The Government should get on with the job of producing a draft bill rather than further reviewing. Our competitors are enhancing their regulatory systems while we establish endless reviews.” Caroline Bowler, CEO of crypto exchange BTC Markets said they were please by the Treasurer’s announcement on token mapping and consumer protections.  “This move recognises the significance of the digital asset infrastructure for the future of Australia, and we look forward to working alongside the Treasury Department towards creation of regulatory framework,” she said. “It also mirrors the calls of many of us in the industry who have been asking for proportional, appropriate regulation of our sector. We echo the position of the Treasury consultation paper in March of this year, which recognised that regulation needs to be centred on risk and remain technology neutral.” Bowler said BTC Markets submitted feedback to both last year’s cross-party Senate Committee and the recent Treasury consultation paper on licensing and custody requirements for the crypto industry.  “The Treasury consultation paper in March 2022 spoke of regulating according to risk. It recognised that crypto assets are distinct in character compared to traditional financial products,” she said “The issues of trust and information asymmetry may be mitigated using blockchain technology. As a result, any regulations need to be applied based on risk, and considered technology neutral in design. Token mapping is the foundational work to achieve this risk-based objective.” Bowler said there are additional benefits to token mapping too. “It will provide greater clarity to crypto investors; aide companies in developing their own blockchain-based innovations; provide guidance to digital currency exchanges; as well as assist regulators in shaping an appropriate regulatory regime,” she said. “It will also correctly position Australia in a leadership role globally on this issue.” Bigger issues Dr Dimitrios Salampasis, director of fintech at Swinburne University of Technology he hoped the token mapping will guide regulators in deciding how to intervene, but the government needs to get on with the job. “This is indeed a vital first step so as to ensure a harmonised understanding of the different utilisations and behavioural attributes of existing tokens,” he said. “However, this token mapping exercise does not really solve the bigger issues around the unregulated world of crypto and the way different quasi-DeFI mechanisms have been functioning with devastating results. Consumer protection is vital and it is very important to consider the various crypto-enabled financial instruments that are constantly being developed.” Dr Salampasis said a major aspect of the exercise should be consideration of cross-jurisdictional approaches, the retail and wholesale utilisation of various tokens, the integration of digital assets in the metaverse and the ethical and human-level dilemmas that are being raised. “This token mapping requires a holistic approach going beyond the regulatory and taxation aspects of crypto embracing complex and sensitive aspects incl. identity, personal data, human rights, etc,” he said. “This token mapping should be conducted in conjunction to work taking place in other jurisdictions and international organisations ensuring consistency, regulatory and taxation interoperability. “The government should leverage the recommendations of the Senate Select Committee on Australia as a Technology and Financial Centre and avoid further delays.”|no|
